fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
32,0,,DA QING 769,412402730,1,0.1,116.848425,23.26505,342.1,80,2023-03-25 07:02:43
81,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.0,117.13129,23.563985,197.7,80,2023-03-25 06:56:40
100,9445473,D5SA5  ,ATHERINA            ,636018918,0,11.0,121.820285,21.336453,52.0,80,2023-03-25 07:07:22
123,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.121565,24.394493,262.6,80,2023-03-25 07:04:43
162,,0000000,,413592460,15,0.0,119.547637,26.120917,111.0,80,2023-03-25 07:00:34
166,0,BODT5  ,SHENG RONG 26       ,413223960,0,4.4,117.553662,23.714307,76.8,80,2023-03-25 06:58:00
169,0,BVAK8  ,HAI DA 788          ,413696810,1,0.2,118.035813,24.424752,360.0,80,2023-03-25 07:06:52
170,9058684,9LU2698,AN SHUEN            ,667001895,2,0.6000000000000001,120.160093,22.27168,220.4,80,2023-03-25 07:07:06
184,,,HAI DA 868,412703850,15,0.2,118.0394,24.4279,129.6,80,2023-03-25 07:06:55
185,,       ,,412703890,15,1.4,118.041528,24.455223,191.5,80,2023-03-25 07:05:28
260,,,QUAN YI YOU 02      ,413697460,15,0.0,118.715,24.816393,202.2,80,2023-03-25 07:01:25
266,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300087,22.582955,7.3,80,2023-03-25 07:05:52
306,0,0      ,DONG  FANG  59      ,413358250,15,0.0,118.979835,25.168575,330.6,80,2023-03-25 07:06:26
322,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.1,118.03416,24.430965,360.0,80,2023-03-25 07:07:19
323,0,BVG08  ,HAI GONG 169        ,412704030,1,0.6000000000000001,118.039133,24.430397,360.0,80,2023-03-25 07:05:20
403,9346861,SVCD4,KRITI VERANO,241367000,0,12.3,122.591087,24.408333,25.1,80,2023-03-25 07:07:25
424,,BVGH8  ,,413696450,15,0.0,118.433123,24.635553,244.3,80,2023-03-25 07:03:51
426,9172234,T2HM5  ,MELATI 3            ,572210220,0,14.5,121.936242,23.298198,28.0,80,2023-03-25 07:07:26
487,,BVFG 8 ,,413699880,15,0.0,118.037048,24.466373,236.4,80,2023-03-25 07:07:10
490,9630444,V7ZA6  ,BLUE ARROW          ,538004779,0,6.3,120.511462,24.275045,195.5,80,2023-03-25 07:07:20
529,9335109,C6VP7  ,GULF ELAN           ,309833000,0,11.4,117.3772,22.8869,42.0,80,2023-03-25 07:01:05
531,9783722,C6DC4  ,SEATRIUMPH          ,311000636,0,12.4,122.675333,24.177012,181.8,80,2023-03-25 07:07:19
574,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,0,10.3,119.74155,22.913,32.0,80,2023-03-25 07:07:24
701,0,BPEC,JING WEI YOU 1,412423130,0,10.4,120.980613,27.124048,212.8,80,2023-03-25 06:58:05
922,0,BPCR9  ,RONG TOU YOU 8      ,412303310,15,0.0,119.449805,25.240577,94.1,80,2023-03-25 07:05:33
1004,0,BPCO8,ZHENYANG18,412438370,1,0.0,119.044133,25.020833,190.4,80,2023-03-25 07:05:24
1005,0,BKSO3  ,KANG FA 11          ,412438420,5,0.0,117.88076,24.432703,360.0,80,2023-03-25 06:59:25
1237,,BIBI9  ,,413377790,15,0.2,119.792608,26.264418,51.0,80,2023-03-25 07:05:16
1238,,BIBJ2  ,,413377810,15,0.1,119.791585,26.266593,120.7,80,2023-03-25 07:06:15
1247,0,BXQQ   ,FU LI518            ,412469620,0,5.1,117.883973,23.967193,29.4,80,2023-03-25 07:07:11
1346,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037373,24.465927,0.0,80,2023-03-25 07:01:30
1349,0,,ZHOU HAI 66,413695530,15,0.4,118.037827,24.463652,49.4,80,2023-03-25 07:04:24
1355,,,HAIMINGHUA168       ,413695950,15,0.0,118.036328,24.469152,36.8,80,2023-03-25 07:06:56
1357,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-25 07:06:22
1414,0,TEST   ,JIN HANG YOU 68     ,413570990,0,10.3,119.944587,25.576107,26.2,80,2023-03-25 07:07:27
1455,0,0      ,MING RI GUANG 10 HAO,413232120,0,7.2,118.029053,23.879765,52.1,80,2023-03-25 07:05:54
1506,0,BKVJ5  ,YU SHUN 27          ,413443130,0,9.1,118.667607,24.473062,223.9,80,2023-03-25 07:05:39
1509,0,BKTI5,KAI FENG 17,413445240,1,0.0,119.103142,24.961418,0.0,80,2023-03-25 07:05:14
1510,9646479,BKNM6,HUITONG78,413445560,1,0.30000000000000004,118.998055,24.631865,319.3,80,2023-03-25 07:02:45
1511,0,BKPH6,YI DA 7,413447410,0,9.7,118.369442,24.20906,234.4,80,2023-03-25 07:07:23
1527,0,,SHAN QING 5 ,413470870,0,0.1,117.10838,23.559623,160.2,80,2023-03-25 06:57:41
1528,,,ZHENG LI XIN HAI 101,413472670,15,0.0,118.892005,24.875893,13.3,80,2023-03-25 07:03:09
1541,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036545,24.463245,244.0,80,2023-03-25 06:59:39
1551,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.03706,24.462513,135.5,80,2023-03-25 06:57:06
1552,,,HENG YU 9           ,413698760,15,0.0,118.387697,24.538767,131.6,80,2023-03-25 07:05:16
1600,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,6.2,119.711813,26.092335,273.6,80,2023-03-25 07:07:21
1601,0,BOBV7,SHUN KAI 83,413407960,5,0.1,117.584233,23.737183,0.0,80,2023-03-25 06:56:39
1608,0,       ,YONGFENGDA98,413427230,0,6.5,120.431463,26.865085,40.1,80,2023-03-25 07:07:19
1641,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,1,0.1,119.79416,26.26447,123.1,80,2023-03-25 07:06:50
1689,9739501,D5JF9  ,ANDAMAN             ,636017088,0,13.5,122.342722,23.371887,9.0,80,2023-03-25 07:07:23
1742,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.519145,24.286647,241.9,80,2023-03-25 07:06:26
1765,9354894,VREF6  ,ATLANTIC LILY       ,477110700,0,12.1,121.13358,26.753635,26.6,80,2023-03-25 07:07:07
1783,0,BPCX9  ,XIN XIANG TAI       ,412378820,5,0.0,118.043617,24.452317999999998,356.6,80,2023-03-25 07:04:48
1789,9531351,BR4317 ,TONG YEA NO.9       ,416006175,0,0.0,120.292048,22.593042,183.8,80,2023-03-25 07:07:01
1849,0,BVFR8,HAIDA988,412705360,1,0.2,118.04422,24.425187,137.6,80,2023-03-25 07:05:12
